,V1,V2
1542,1225,924
1543,1227,1081
1544,1228,282
1545,1229,414
1546,1229,372
1547,1229,325
1548,1230,540
1549,1230,696
1550,1230,973
1551,1230,925
1552,1230,1120
1553,1233,765
1554,1239,762
1555,1240,827
1556,1241,1014
1557,1241,199
1558,1242,608
1559,1243,114
1560,1244,415
1561,1244,423
1562,1246,627
1563,1246,979
1564,1246,400
1565,1249,958
1566,1249,971
1567,1251,448
1568,1252,1092
1569,1253,1015
1570,1254,783
1571,1254,167
1572,1254,713
1573,1256,1123
1574,1257,793
1575,1260,1071
1576,1260,662
1577,1260,1121
1578,1263,693
1579,1264,111
1580,1265,918
1581,1265,274
1582,1266,556
1583,1267,795
1584,1267,11
1585,1267,163
1586,1267,10
1587,1269,601
1588,1269,698
1589,1269,707
1590,1270,1081
1591,1270,473
1592,1270,270
1593,1270,376
1594,1271,585
1595,1271,577
1596,1272,98
1597,1272,501
1598,1272,641
1599,1274,1075
1600,1274,508
1601,1274,667
1602,1279,691
1603,1279,895
1604,1284,274
1605,1285,456
1606,1286,922
1607,1286,344
1608,1286,69
1609,1287,222
1610,1287,576
1611,1287,603
1612,1289,994
1613,1289,632
1614,1290,73
1615,1292,170
1616,1293,1041
1617,1293,836
1618,1294,397
1619,1295,698
1620,1296,505
1621,1296,609
1622,1298,196
1623,1298,926
1624,1298,636
1625,1299,632
1626,1299,720
1627,1300,312
1628,1300,680
1629,1300,975
1630,1301,846
1631,1303,66
1632,1304,792
1633,1304,705
1634,1305,317
1635,1305,1109
1636,1305,1073
1637,1307,1112
1638,1307,94
1639,1307,359
1640,1308,327
1641,1308,1127
1642,1308,807
1643,1310,177
1644,1311,603
1645,1312,829
1646,1312,37
1647,1312,207
1648,1314,81
1649,1314,640
1650,1315,77
1651,1315,1082
1652,1315,395
1653,1315,866
1654,1316,660
1655,1316,639
1656,1317,910
1657,1317,316
1658,1320,391
1659,1320,1010
1660,1321,112
1661,1321,115
1662,1321,67
1663,1322,532
1664,1322,262
1665,1323,86
1666,1323,396
1667,1323,730
1668,1323,955
1669,1323,966
1670,1327,512
1671,1327,1100
1672,1327,677
1673,1327,346
1674,1328,1122
1675,1329,300
1676,1329,122
1677,1330,640
1678,1331,943
1679,1331,557
1680,1333,528
1681,1333,316
1682,1336,558
1683,1336,591
1684,1339,126
1685,1339,972
1686,1341,369
1687,1341,324
1688,1342,454
1689,1342,135
1690,1342,87
1691,1342,490
1692,1343,997
1693,1343,781
1694,1343,230
1695,1343,279
1696,1343,593
1697,1345,274
1698,1346,427
1699,1348,552
1700,1348,828
1701,1349,641
1702,1349,677
1703,1349,1050
1704,1350,698
1705,1350,722
1706,1351,542
1707,1351,990
1708,1351,445
1709,1351,374
1710,1351,684
1711,1352,962
1712,1352,287
1713,1352,576
1714,1354,413
1715,1355,32
1716,1355,687
1717,1356,850
1718,1358,735
1719,1362,810
1720,1362,539
1721,1362,855
1722,1364,423
1723,1364,415
1724,1364,782
1725,1364,803
1726,1364,458
1727,1365,580
1728,1365,860
1729,1365,396
1730,1367,650
1731,1369,1059
1732,1369,112
1733,1370,218
1734,1371,72
1735,1371,529
1736,1371,449
1737,1372,737
1738,1375,951
1739,1377,339
1740,1378,152
1741,1378,688
1742,1379,841
1743,1382,753
1744,1383,431
1745,1383,769
1746,1384,95
1747,1384,780
1748,1385,445
1749,1385,699
1750,1386,900
1751,1386,256
1752,1386,75
1753,1386,927
1754,1387,212
1755,1389,36
1756,1390,486
1757,1391,63
1758,1392,734
1759,1393,125
1760,1393,1002
1761,1394,781
1762,1397,256
1763,1398,683
1764,1398,770
1765,1398,700
1766,1399,1085
1767,1399,386
1768,1400,748
1769,1400,470
1770,1400,22
1771,1400,1124
1772,1401,2
1773,1404,649
1774,1404,1037
1775,1407,695
1776,1408,969
1777,1410,136
1778,1412,850
1779,1412,90
1780,1413,328
1781,1413,492
1782,1413,237
1783,1417,13
1784,1417,1050
1785,1417,223
1786,1418,1058
1787,1418,872
1788,1419,330
1789,1419,51
1790,1421,751
1791,1422,23
1792,1422,501
1793,1424,58
1794,1426,209
1795,1428,1088
1796,1429,299
1797,1429,293
1798,1429,59
1799,1430,785
1800,1430,368
1801,1430,102
1802,1430,624
1803,1432,404
1804,1433,232
1805,1433,778
1806,1435,711
1807,1438,993
1808,1438,494
1809,1440,1113
1810,1440,317
1811,1445,746
1812,1445,40
1813,1445,881
1814,1445,159
1815,1445,549
1816,1446,578
1817,1446,6
1818,1447,303
1819,1447,97
1820,1447,806
1821,1448,999
1822,1449,44
1823,1449,976
1824,1449,525
1825,1450,490
1826,1451,906
1827,1452,794
1828,1452,290
1829,1452,1047
1830,1452,822
1831,1453,64
1832,1454,720
1833,1455,1018
1834,1455,621
1835,1455,1096
1836,1455,549
1837,1459,870
1838,1465,372
1839,1465,797
1840,1467,498
1841,1468,518
1842,1468,778
1843,1468,336
1844,1471,319
1845,1471,1054
1846,1472,172
1847,1473,321
1848,1473,260
1849,1473,263
1850,1473,814
1851,1475,645
1852,1476,284
1853,1476,1046
1854,1476,531
1855,1476,546
1856,1477,566
1857,1479,710
1858,1480,336
1859,1482,814
1860,1482,219
1861,1482,713
1862,1483,1044
1863,1483,1017
1864,1484,443
1865,1484,729
1866,1485,203
1867,1485,628
1868,1486,285
1869,1486,227
1870,1486,887
1871,1487,547
1872,1487,843
1873,1489,421
1874,1489,472
1875,1489,546
1876,1489,522
1877,1491,968
1878,1491,132
1879,1491,38
1880,1492,387
1881,1492,815
1882,1492,801
1883,1492,185
1884,1493,467
1885,1493,264
1886,1493,258
1887,1493,89
1888,1495,540
1889,1495,696
1890,1496,513
1891,1496,349
1892,1496,593
1893,1496,997
1894,1497,1116
1895,1498,103
1896,1500,646
1897,1500,533
1898,1501,268
1899,1502,535
1900,1502,756
1901,1502,304
1902,1503,240
1903,1503,436
1904,1503,224
1905,1506,313
1906,1507,147
1907,1507,1008
1908,1507,197
1909,1508,51
1910,1509,933
1911,1510,924
1912,1511,916
1913,1514,1078
1914,1515,972
1915,1516,866
1916,1517,1056
1917,1517,228
1918,1518,176
1919,1518,819
1920,1519,1114
1921,1519,941
1922,1521,904
1923,1521,883
1924,1522,232
1925,1523,43
1926,1524,883
1927,1527,607
1928,1529,1112
1929,1530,830
1930,1531,753
1931,1531,328
1932,1534,631
1933,1535,261
1934,1535,697
1935,1535,1032
1936,1536,914
1937,1536,803
1938,1537,266
1939,1538,95
1940,1539,947
1941,1539,255
1942,1539,527
1943,1541,1024
1944,1542,213
1945,1542,451
1946,1542,401
1947,1543,254
1948,1544,50
1949,1544,518
1950,1545,613
1951,1545,727
1952,1546,864
1953,1546,844
1954,1546,723
1955,1546,430
1956,1547,678
1957,1549,630
1958,1549,270
1959,1551,827
1960,1552,297
1961,1555,830
1962,1556,332
1963,1557,247
1964,1557,19
1965,1557,793
1966,1558,1078
1967,1558,580
1968,1558,495
1969,1559,193
1970,1559,83
1971,1559,702
1972,1560,220
1973,1560,513
1974,1560,716
1975,1561,569
1976,1561,597
1977,1562,805
1978,1563,379
1979,1563,101
1980,1565,612
1981,1567,646
1982,1567,254
1983,1568,900
1984,1568,159
1985,1568,669
1986,1568,176
1987,1568,256
1988,1569,945
1989,1571,439
1990,1574,104
1991,1579,340
1992,1579,554
1993,1579,130
1994,1579,215
1995,1584,586
1996,1584,364
1997,1586,429
1998,1586,186
1999,1586,246
2000,1587,12
