,V1,V2
1971,639,639
1972,639,107
1973,639,660
1974,639,899
1975,640,640
1976,640,81
1977,641,641
1978,641,890
1979,641,98
1980,642,642
1981,642,844
1982,642,864
1983,642,49
1984,642,319
1985,643,643
1986,643,18
1987,644,644
1988,644,5
1989,644,315
1990,644,987
1991,645,645
1992,645,8
1993,646,646
1994,646,533
1995,647,647
1996,647,653
1997,647,989
1998,647,354
1999,648,648
2000,648,480
2001,648,377
2002,648,165
2003,649,649
2004,649,660
2005,650,650
2006,651,651
2007,651,950
2008,652,652
2009,652,142
2010,652,1026
2011,652,327
2012,652,382
2013,653,653
2014,653,647
2015,654,654
2016,654,480
2017,655,655
2018,655,840
2019,655,39
2020,655,991
2021,655,737
2022,656,656
2023,656,190
2024,656,40
2025,656,76
2026,657,657
2027,657,168
2028,657,312
2029,658,658
2030,658,374
2031,658,734
2032,659,659
2033,660,660
2034,660,639
2035,660,50
2036,660,778
2037,660,649
2038,661,661
2039,662,662
2040,662,569
2041,662,965
2042,663,663
2043,664,664
2044,665,665
2045,665,987
2046,665,146
2047,665,796
2048,665,51
2049,666,666
2050,667,667
2051,667,1075
2052,668,668
2053,669,669
2054,669,459
2055,669,839
2056,669,4
2057,670,670
2058,671,671
2059,672,672
2060,672,26
2061,672,494
2062,673,673
2063,673,100
2064,673,499
2065,673,574
2066,673,761
2067,674,674
2068,674,1019
2069,675,675
2070,675,26
2071,676,676
2072,677,677
2073,677,808
2074,677,679
2075,677,573
2076,677,300
2077,678,678
2078,678,98
2079,679,679
2080,679,389
2081,679,677
2082,679,300
2083,679,953
2084,680,680
2085,680,975
2086,680,220
2087,680,513
2088,681,681
2089,681,405
2090,682,682
2091,682,1023
2092,682,863
2093,683,683
2094,683,770
2095,683,365
2096,684,684
2097,685,685
2098,685,373
2099,685,17
2100,685,56
2101,685,826
2102,686,686
2103,686,997
2104,686,781
2105,686,230
2106,686,982
2107,687,687
2108,687,241
2109,687,588
2110,687,52
2111,687,509
2112,688,688
2113,688,322
2114,688,610
2115,688,200
